repo,sha,date,author,at_snapshot,subject
numpy,47db4f1b0a7dba2f1808e0d812a9e7b30747520b,2025-10-10 16:50:23 +0530,ANIK CHAND,True,Update doc/release/upcoming_changes/29009.expiring.rst
numpy,b70fc2ef39e007ea6a5393a3dc12c2e1a46b189c,2025-12-14 14:35:17 +0100,Joren Hammudoglu,True,TYP: fix typo
numpy,d184d31e900354418d01ebae82c4ad0b5c7872cf,2025-12-19 18:38:18 +0100,Joren Hammudoglu,True,TYP/DOC: release note for the ``linalg`` typing improvements (#30480)
numpy,5dad46bebd1786c606f9d2ebba56506723796aa0,2026-01-01 21:34:49 +0100,Joren Hammudoglu,True,TYP: fix typos in comments
numpy,3f4fb222eea25dcff0b340ae6363bd53287e9401,2026-01-03 15:47:14 +0100,Joren Hammudoglu,True,DOC: apply suggestions from code review
numpy,c3b0e2a409497640a37d62b9a7b7c9334e74355f,2026-03-05 13:43:52 +0200,Matti Picus,True,DOC: grammar [skip actions][skip cirrus]
numpy,a0c266b56ca23c4de0cf0bd062a40172ea95d8d6,2026-03-13 03:30:43 +0100,Vishal Rajesh Kushwaha,False,Potential fix for pull request finding
numpy,849a584e06b2ab98f02b1600bc643b01e9aa8047,2026-04-09 10:33:46 -0700,jbrockmendel,True,BUG: raise OverflowError on datetime64 unit conversion overflow (#31085)
numpy,8df456689d93d62a4843796a4a1f52f02ad58d92,2026-04-10 09:46:34 +0200,Pieter Eendebak,True,TST: Add tests for PyUFunc_ReplaceLoopBySignature (#31097)
numpy,eb47e0ae7e9507ed139e86cb99164698ceed2784,2026-04-11 10:57:38 +0200,Pieter Eendebak,True,ENH: Improve performance of PyArray_FromAny and cleanup PyArray_ExtractDTypeAndDescriptor (#31099)
numpy,aafacc6f4fa9e00522a45a81a167533df5d58a55,2026-04-29 00:38:55 -0700,jbrockmendel,True,PERF: branchless calendar algorithms for datetime conversions (#31126)
numpy,c36307a4241a3cee9a806044787e6ebd3e7b2c03,2026-05-11 12:44:20 -0700,jbrockmendel,True,ENH: raise OverflowError on datetime64/timedelta64 arithmetic overflow (#31378)
numpy,78e8ddee409f725d2fe1b0b24047d02aba8939a9,2026-05-13 11:33:00 +0200,Pieter Eendebak,True,TST: suppress shape deprecation warning in test_recarray_conflict_fields (#31418)
numpy,66446bed1b6c78382255d3b114be4eb48320f892,2026-06-03 11:41:42 -0400,Lawson Darrow,False,MAINT: specify encoding in numpy/testing/_private/utils.py (#31553)
numpy,94c59337408d7aed383d30cfedf501e39dceb600,2026-09-02 19:56:27 +0200,Pieter Eendebak,False,"ENH,  BUG: use faster calling conventions (vectorcall) in several hot paths (#31988)"
numpy,c2cbbf5e3742795ccde0056598bfc70a07eeed44,2026-09-03 20:33:38 +0200,Pieter Eendebak,False,ENH: Refactor ufunc implementation to avoid intermediate tuples (#31009)
numpy,fb7b3f90089cbde3835430caa9d3e5193ff56701,2026-09-08 19:43:47 +0200,Pieter Eendebak,False,PERF: use vectorcall in PyArray_GenericReduce/AccumulateFunction (#32524)
numpy,36ffce44a23ef720e1edfa5777d73d9d69b1b820,2026-09-10 08:00:22 +0200,Pieter Eendebak,False,ENH: use the vectorcall protocol for the scalar method forwarders (#32551)
numpy,d63737490cf49ee6fa711023b1f5d09e203618b4,2026-09-10 21:09:07 +0200,Pieter Eendebak,False,PERF: use the vectorcall calling convention for ndarray.reshape
numpy,b29169595ebfcf6c7799aec7bc22b910ac3170f3,2026-09-10 21:09:07 +0200,Pieter Eendebak,False,PERF: parse scalar constructor arguments without PyArg_ParseTupleAndKeywords
numpy,27c6fb33ed1535559486e1533d39f3a44404e69d,2026-09-10 21:09:08 +0200,Pieter Eendebak,False,PERF: use the vectorcall calling convention for ndarray.__array_function__
numpy,7deb1a9e40cb2388cc80e9d17456db5121053d24,2026-09-18 23:11:57 +0200,Pieter Eendebak,False,ENH: Immortalize builtin constants on free-threaded build (#32513)
numpy,9b2580b71415826e05b05cc3ff87aa39bcff3833,2026-09-19 00:21:26 +0200,Pieter Eendebak,False,ENH: speed up the fixed-width string casts and unicode scalars (#32550)
numpy,148d78e58fac7fb3b77c209b2385554d879b175d,2026-09-21 19:44:24 +0200,Pieter Eendebak,False,ENH: use x86-simd-sort for descending sorts and partitions (#32690)
pandas,04a554c9f17bdc06e152e3e9250c40dbaf523897,2025-12-14 00:50:13 +0800,lif,True,BUG: Add logical operators to pd.col Expression class (#63330)
pandas,910baf58c4c4f81105dfaba4529dfc9fcb104fb5,2025-12-18 09:13:56 -0800,Fangchen Li,True,Perf: avoid fallback to NumPy in value_counts for Arrow-backed array (#63389)
pandas,476e987ac19559170ed04823e9935bca09f034ac,2025-12-19 12:03:44 -0800,Fangchen Li,True,PERF: avoid NumPy fallback when casting Arrow int/string to string (#63401)
pandas,19e86656f0792cca836bf5ec865efff452375b78,2026-02-18 10:55:47 -0800,jbrockmendel,True,CLN: remove unused attributes from TimeSeries_DateLocator/Formatter (#64209)
pandas,66cf2907300714f1a8b86795fb425f284b325933,2026-02-18 11:05:42 -0800,jbrockmendel,True,TST/DOC: document BDay no-weekend-gap behavior in plotting (#64225)
pandas,8352ab938ec33c914abab167d8239cac8e44e4dd,2026-02-26 16:21:31 -0800,jbrockmendel,True,PERF: use kth_smallest_c (O(n) quickselect) in group_quantile (#64330)
pandas,4228e61bdff60934009b6466505b94a36d012c45,2026-03-02 11:40:54 -0800,jbrockmendel,True,BUG: fix 1-ULP rounding error in precise_xstrtod via uint64_t mantissa accumulation (#64357)
pandas,db3247d9e94e58e07fda4de9fd39a9d1930d8264,2026-03-02 11:56:49 -0800,jbrockmendel,True,BUG: fix read_sas large datetimes off by 2 days (GH#56014) (#64344)
pandas,9c46a0a705e442cc7568ad2c4f5bd7ae7732add3,2026-03-04 17:38:09 -0800,jbrockmendel,True,DOC: Fix outdated docs for pandas 3.0 (#64128)
pandas,3cf101c4514858990a12b699f2b9a22dcc4d5cfb,2026-03-07 09:54:50 -0800,jbrockmendel,True,PERF: Improve take_2d Cython helpers (#64436)
pandas,39320db1944b218dfa299868202a4e4d1d0f92e1,2026-03-07 09:59:40 -0800,jbrockmendel,True,BUG/PERF: Fix wrong keys in _take_1d_dict for uint16/uint32/uint64 (#64437)
pandas,0039f168fe057b945e8ec2a65c9d1e973c7c1fe9,2026-03-07 17:10:25 -0800,jbrockmendel,True,PERF: Optimize month_position_check in infer_freq (#64463)
pandas,5273c347114c03004011c0de92f9561999a99ba3,2026-03-09 09:32:49 -0700,jbrockmendel,True,COMPAT: Fix OverflowError in nanops with numpy 2.5 (#64478)
pandas,edb6d2064bcfe1a40713bd8b47711ae10151b16d,2026-03-09 09:54:30 -0700,jbrockmendel,True,"TST: parametrize period, interval arithmetic tests over box_with_array (#64457)"
pandas,e0e158d2ffa3f6f5410c206ba273232f9b044b49,2026-03-09 10:36:42 -0700,jbrockmendel,True,DOC: Update timeseries.rst for resolution-flexible dtypes (#64491)
pandas,062863f8a679bb044781237d8a19c8ca7fa11c67,2026-03-09 10:48:16 -0700,jbrockmendel,True,PERF/BUG: fix cast_from_unit_vectorized regression and near-bounds float overflow (GH#57366) (#64438)
pandas,e8d7ef9d0f325946c2b739d852f3ad5cdb2b2999,2026-03-09 12:53:49 -0700,jbrockmendel,True,PERF: Optimize _libs.tslibs.strptime parsing (#64476)
pandas,b7a5aaa0f4b97c38dce86ce58bf844e4392d2212,2026-03-09 12:56:50 -0700,jbrockmendel,True,PERF: Use numpy C API in NDArrayBacked properties and methods (#64477)
pandas,486945db1f8d30f151476afc4545e82240c172ff,2026-03-09 13:02:31 -0700,jbrockmendel,True,"PERF: optimize offsets hot paths with nogil, inlining, and day_opt enum (#64480)"
pandas,254531e51b0906f340c81d7be69960894177ed7c,2026-03-09 13:03:40 -0700,jbrockmendel,True,PERF: Add missing boundscheck/wraparound decorators in _libs (#64482)
pandas,0889aa6218d3478b5a5a49071b8992a09e3f0072,2026-03-09 13:08:26 -0700,jbrockmendel,True,PERF: Optimize _libs.internals Cython helpers (#64489)
pandas,a6b0636e095e3e8dc51825a4b6b3d941dcada45b,2026-03-09 17:18:36 -0700,jbrockmendel,True,TST: Fix leaked sqlite3.Connection in ip fixture (#64494)
pandas,07346317e10d088c22b9621f49953d7655892138,2026-03-10 09:38:45 -0700,jbrockmendel,True,PERF: Add allow_fill fast path to Cython take helpers (#64495)
pandas,c09d2dcf763c3bae24b18cb21dc1d8329952d42b,2026-03-10 09:45:23 -0700,jbrockmendel,True,PERF: Optimize astype_overflowsafe unit conversion (#64493)
pandas,ef9bc29df1e596fa5e800235279c231bf73402c7,2026-03-11 09:50:23 -0700,jbrockmendel,True,REF: remove unused mask from _Unstacker.get_new_values (#64516)
pandas,ea6c5b89dc53ed89c1446b63e007a17beee89f9d,2026-03-11 13:40:59 -0700,jbrockmendel,True,PERF: skip unnecessary capitalize() in get_date_name_field (#64536)
pandas,fac015ddd365861427697c39123c59e7e7b60c44,2026-03-12 09:13:31 -0700,jbrockmendel,True,TST: add regression test for to_numeric with large exponent (#64550)
pandas,60d674a09c2d2bc5bcf24464aecb2c7c56addd3f,2026-03-12 09:31:42 -0700,jbrockmendel,True,REF: remove axis keyword from array_algos.transforms.shift (#64549)
pandas,878a6fb46fc2838fed45fe3600c0020ae331dc58,2026-03-12 11:59:20 -0700,jbrockmendel,True,BUG: fix false matches in DatetimeArray/TimedeltaArray.isin with mismatched resolutions (#64545)
pandas,6e755f3216959eb9531f2663651e3411b61bdc9f,2026-03-12 12:09:44 -0700,jbrockmendel,True,TST: remove unnecessary check_freq=False in pytables tests (#64561)
pandas,406f472a5defec4fae07707e599b4bb65be2932a,2026-03-12 12:12:30 -0700,jbrockmendel,True,PERF: optimize DataFrame.__repr__ formatting (#64544)
pandas,4a8d11e43e8504012b37ca92f93f20e0aea97319,2026-03-12 12:14:17 -0700,jbrockmendel,True,"TYP: enable 7 pyright checks, remove stale mypy overrides (#64551)"
pandas,42423d4695beef89b1ef0d638991313b4c00eb65,2026-03-12 12:19:22 -0700,jbrockmendel,True,CLN: remove unnecessary SparseArray.__repr__ override (#64547)
pandas,2fec43be8f39f6c40f0e285ace49eb355e2e98e0,2026-03-12 13:04:46 -0700,jbrockmendel,True,CI: fix 113 pyright warnings in code checks build (#64563)
pandas,95427a39671866799d6b73d1617f66b1cc5acd9b,2026-03-12 13:30:22 -0700,jbrockmendel,True,PERF: Fast path for cross merges (#64456)
pandas,a8304e59942ec002618e9dad84fd32cb3baf8d0f,2026-03-12 15:51:24 -0700,jbrockmendel,True,TST: use assert_invalid_comparison in test_datetime64 (#64570)
pandas,74d999e7113ced1a94d74dad467a41a04c3fa2cf,2026-03-12 15:59:12 -0700,jbrockmendel,True,BLD: Remove deprecated Cython compile-time IF statements (#64534)
pandas,277a68e70d1d94f4c089a2ee9633943d55dfbe9f,2026-03-12 16:53:52 -0700,jbrockmendel,True,BUG: Rename vendored ujson module from json to _ujson (#64564)
pandas,027ea1edde4ee1de97c89cca4f782a00d1955375,2026-03-13 09:46:13 -0700,jbrockmendel,True,TYP: annotate core.common and core.dtypes.cast (#64572)
pandas,a1db9876cf4c6f4a2b2855b8fde7c6d73704b33c,2026-03-14 09:55:52 -0700,jbrockmendel,True,DEPR: automatic upcasting in reindex (#62871)
pandas,4987318a75a7b8a43d00d2683e7cf1712da4d751,2026-03-14 09:58:33 -0700,jbrockmendel,True,TYP: Add type annotations to Index (pandas/core/indexes/base.py) (#64573)
pandas,6acf9e56d2192549b97ef861192dffe077062faa,2026-03-15 05:06:57 -0700,jbrockmendel,True,BUG: fix merge with MultiIndex containing NaN values (#64492)
pandas,985a751ec46daf574e0585b816b91107cd7838cf,2026-03-15 10:35:44 -0700,jbrockmendel,True,TYP: enable mypy for array_algos.putmask (#64602)
pandas,93c9e9473b1efa64653a09f0b9003d981aa82772,2026-03-15 11:36:15 -0700,jbrockmendel,True,TYP: enable mypy checks for pandas.errors (#64603)
pandas,48ffc42359e3b9c88dc3d4468e2bf69c02bb1515,2026-03-15 11:38:11 -0700,jbrockmendel,True,TYP: Add type annotations to FrozenList (#64599)
pandas,6de4799c6d6d145f60b298ab3064db1158031570,2026-03-15 11:48:54 -0700,jbrockmendel,True,PERF: improve hashing of CategoricalDtype with Interval categories (#64605)
pandas,9364c239aeec15ee8888b84f9d2ce0521fe6cd57,2026-03-15 11:58:14 -0700,jbrockmendel,True,TYP: enable mypy for core.flags (#64615)
pandas,c51775813690ce987a4c5483df7c795bfd8c3d13,2026-03-15 12:04:55 -0700,jbrockmendel,True,TYP: enable mypy checks for core.dtypes.astype (#64612)
pandas,fda9daf962c7c335b285a5f7bb8df21c796ec796,2026-03-15 12:05:04 -0700,jbrockmendel,True,PERF: groupby first/last no longer falls back to apply for ExtensionArrays (#64606)
pandas,3cc8e12873acde353e94b2d21a4a7ee94172459e,2026-03-15 12:08:30 -0700,jbrockmendel,True,TYP: add type annotations to core.array_algos.quantile (#64610)
pandas,e668a3bdcbd3d7c3f23c3bbb5e851308950a93eb,2026-03-15 12:10:44 -0700,jbrockmendel,True,TYP: enable mypy checks for core.dtypes.concat (#64611)
pandas,6bdc67745b7cbb9065688544fbb65a9ad21b64a1,2026-03-15 12:13:11 -0700,jbrockmendel,True,TYP: enable mypy for pandas.util._test_decorators (#64614)
pandas,e22d18f1c05526b8d0c5b3e89a57a72aa2d74da3,2026-03-15 13:15:14 -0700,jbrockmendel,True,PERF: read zip-compressed files into memory instead of streaming (#64607)
pandas,2aef62f7fd5b11d84faabd571d0221f6b31c5407,2026-03-15 15:27:01 -0700,jbrockmendel,True,TST: remove is_ci_environment antipattern (#64548)
pandas,cc056352d832c4a310a8b3cca7618604381bf0fa,2026-03-15 15:28:33 -0700,jbrockmendel,True,TYP: Add type annotations to RangeIndex (#64621)
pandas,347d0185872d6c61af594011946f4b51c9a321db,2026-03-15 15:29:18 -0700,jbrockmendel,True,PERF: avoid densification and groupby fallback in dropna with SparseArray (#64608)
pandas,a22588bd5da666dd4dee4edafb382289b8eb21ab,2026-03-15 15:29:56 -0700,jbrockmendel,True,PERF: pass string path to PyArrow in read_parquet instead of file handle (#64590)
pandas,0e25786c04a9c696c500e0247fdc292f2a5e280e,2026-03-16 12:54:34 -0700,jbrockmendel,True,TYP: enable mypy checks for core.internals.ops (#64629)
pandas,7021a347d6353bbaee200bfb9ab960d828a83aa0,2026-03-16 19:20:38 -0700,jbrockmendel,True,BUG: distinguish bool from int in object-dtype hash table (#64639)
pandas,1cae206ae3dad34959453cbcd13bb0f56f8b7b2b,2026-03-17 13:32:47 -0700,jbrockmendel,True,REF: use fast_float instead of bespoke str-to-double parsers (#64432)
pandas,b8692948beff7a45084cdac0b52802cb8110bf0a,2026-03-17 13:34:25 -0700,jbrockmendel,True,PERF: faster many:many join with sort=False (#64455)
pandas,df3d135f120b8b72234e890d69ceea3c6f1366f4,2026-03-17 13:43:55 -0700,jbrockmendel,True,PERF: Hoist skip_this_line check out of tokenizer hot loop (#64512)
pandas,3395753f6d0dffc099b59da8ec377cc55e542252,2026-03-17 13:50:34 -0700,jbrockmendel,True,PERF: fix slow repr for Series/DataFrame with third-party array-like objects (#64638)
pandas,c44750bf8cfda0f95b50376c6402ee075b114ed5,2026-03-17 18:52:48 -0700,jbrockmendel,True,BUG: Fix CSV C tokenizer infinite loop with embedded \r + space (#64540)
pandas,ca3da7353830cd99324e4df426b7be0306452194,2026-03-18 09:27:45 -0700,jbrockmendel,True,BLD: add cpp_std=c++17 to meson default_options (#64670)
pandas,540a6608a95e432e45926f0eb0cb272046260774,2026-03-18 10:59:14 -0700,jbrockmendel,True,REF: make Index._formatter_func a method instead of property (#64665)
pandas,215127bc7310cd904b6f57d28ef17bcb0bc95f60,2026-03-18 13:25:27 -0700,jbrockmendel,True,PERF: cache interleaved_dtype in BlockManager.fast_xs (#64668)
pandas,da7fc55ffd895496a7834c3bd76b7cd428a76404,2026-03-18 14:39:20 -0700,jbrockmendel,True,PERF: avoid hash table in Index.get_indexer for large monotonic indexes (#64646)
pandas,d27e2f320150e3b064f3256a8bada7478e89da53,2026-03-18 15:48:46 -0700,jbrockmendel,True,PERF: faster GroupBy.any/all for boolean-dtype columns (#64677)
pandas,686d2ccbe3ac33329a06dfded3484f7b0e4141d5,2026-03-18 15:50:24 -0700,jbrockmendel,True,PERF: speed up bdate_range and date_range with business day frequencies (#64648)
pandas,2033a22c67dbc7b7e2866b6555c0aae2f3d16099,2026-03-18 18:07:24 -0700,jbrockmendel,True,PERF: fix slow .loc with non-unique masked index (#64674)
pandas,bbfed4fbe3f7d5791e64a85aaed8492b17eafc46,2026-03-19 09:13:26 -0700,jbrockmendel,True,TST: add regression test for iterrows datetime coercion (#64700)
pandas,a38afd8cade12af6c5c86bb9963ae6cdf82281cc,2026-03-20 03:34:47 -0700,jbrockmendel,True,DEPR: Deprecate xlrd and pyxlsb Excel engines in favor of calamine (#64640)
pandas,c3f1d99cb6b4c4eea4ef44442bf9c44e1bbef548,2026-03-20 03:53:53 -0700,jbrockmendel,True,PERF: Micro-optimizations in C extension source files (#64669)
pandas,cea64256107c4a745e9637934ce0541d138ebde0,2026-03-20 08:56:47 -0700,jbrockmendel,True,ENH: Support axis parameter in BaseMaskedArray.any/all for 2D (#64510)
pandas,4f223d38742b6cfc4113c139a2bde31abd5ba7e8,2026-03-20 12:01:40 -0700,jbrockmendel,True,DEPR: unnecessary *args/**kwargs in groupby ops (#64720)
pandas,9260530d860785e1b4f7e3bfba59b30d77edcd03,2026-03-20 12:03:34 -0700,jbrockmendel,True,DEPR: ExcelFile.parse (#64724)
pandas,78760ed7c506ad055106ddb29aedfdb8f7e8782a,2026-03-20 15:38:49 -0700,jbrockmendel,True,BUG: fix float-to-int64 OOB handling on ARM in to_datetime/to_timedelta (#64643)
pandas,f72db6da88b00a24dfa44ba33996c6d5bff3bb86,2026-03-20 16:26:54 -0700,jbrockmendel,True,BUG: Fix 2D ExtensionArray handling in construction and CSV serialization (#64634)
pandas,66ffa31ded17506f08294b450efaca80176d776d,2026-03-21 09:02:17 -0700,jbrockmendel,True,TST: add regression test for loc setitem with DatetimeIndex and str column name (#64743)
pandas,8a812962144c4e823e38d2d7b994f8b65eb9f353,2026-03-21 09:05:43 -0700,jbrockmendel,True,TST: add regression tests for Needs Tests issues (#64745)
pandas,c6ee315053e039b1479b0aa96ae2e71ff1348490,2026-03-21 09:40:02 -0700,Copilot,True,DOC: Fix invalid Sphinx cross-references in older whatsnew RST files (#64459)
pandas,f10a90cde009630d0ff95a3a4ed764a15cf06c69,2026-03-22 12:10:24 -0700,jbrockmendel,True,PERF: speed up to_csv for sparse DataFrames by optimizing SparseArray.isna (#64765)
pandas,b20357ac47336f9e7918aa68f3014298e8b3be97,2026-03-22 12:24:50 -0700,jbrockmendel,True,PERF: use PyArrow native cast for int/bool to string conversion (#64762)
pandas,95ba1d4a534e464ae5a83a3a9607ec58da7ece70,2026-03-22 13:38:33 -0700,jbrockmendel,True,PERF: short-circuit fragmentation check in BlockManager.insert (#64756)
pandas,395627d473bf76b8a6f5a6387afd085885bd40ca,2026-03-22 16:00:34 -0700,jbrockmendel,True,PERF: avoid TextIOWrapper wrapping for binary file-like objects in read_csv (#64766)
pandas,23f61296bcbf54849cdb2e38994b810ccc3a7446,2026-03-22 16:06:24 -0700,jbrockmendel,True,PERF: use Cython for SparseArray groupby operations (#64758)
pandas,8d1f9c941400dba54820c1ab4c9776c1089fec7a,2026-03-22 16:08:42 -0700,jbrockmendel,True,BUG: raise on uint64 overflow in to_datetime and to_timedelta (#64755)
pandas,1c5eb6dcce58d7331a5c4295d03d253637517cd9,2026-03-22 16:10:47 -0700,jbrockmendel,True,BUG: Cast np.str_ to str before Cython typed-str calls (#64754)
pandas,86fb09c0d33ba31f7b6bfddfcaf2787a1bc0d83c,2026-03-22 17:04:56 -0700,Shubham Goel,True,PERF: fix slow DatetimeIndex plotting for multiplied frequencies (#64376)
pandas,00a347bfae8d9e690652616a0edb19d46581cc03,2026-03-23 09:56:16 -0700,jbrockmendel,True,PERF: reuse decompression buffer in SAS7BDAT reader (#64770)
pandas,a07ff47e0e255b8afcbca3e5648e68afece47a82,2026-03-23 09:57:30 -0700,jbrockmendel,True,PERF: dispatch is_monotonic_increasing/decreasing to ExtensionArray (#64764)
pandas,d19b0db3ff2f111784657c3ed1600663145ca29c,2026-03-23 10:12:19 -0700,jbrockmendel,True,BUG: MultiIndex.sortlevel raises TypeError for incomparable types (#64767)
pandas,2969f1c71e4f50517b4f1fbfd0a9d4c872318296,2026-03-23 10:20:06 -0700,jbrockmendel,True,PERF: Eliminate redundant kh_get calls in hashtable operations (#64543)
pandas,3689c7298fec5ce9f77a33bbecbd9fb466a46ba9,2026-03-23 13:38:48 -0700,jbrockmendel,True,PERF: fix catastrophic regex backtracking in read_html with thousands separator (#64672)
pandas,098e310b7ae409d18a685e156a91a7a93a8fb157,2026-03-24 09:19:14 -0700,jbrockmendel,True,TST: add test for datetime.timedelta arithmetic resolution (GH#59656) (#64813)
pandas,dc008e6c8aff68bdeb774c32e09656a5a8fe7536,2026-03-24 09:22:05 -0700,jbrockmendel,True,BUG: Index.insert silently casts bool to numeric for masked dtypes (#64818)
pandas,e6c1f08512db40a12ab8abc98e0aab21b3e13a9d,2026-03-24 09:29:43 -0700,jbrockmendel,True,ERR: clarify error message for multi-char separators with pyarrow engine (#64812)
pandas,5de215836567f503bec6e529e98296180c390601,2026-03-24 09:30:42 -0700,jbrockmendel,True,TST: test improved error message for non-monotonic DatetimeIndex slicing (#64815)
pandas,a4224b58daf1cffd67f16312070d01da205b9951,2026-03-24 09:36:46 -0700,jbrockmendel,True,BUG: fix DataFrame.where/mask with Series cond and axis=1 (#64816)
pandas,51d568083b24ac6a44d47a0a7d5714f3082ef099,2026-03-24 09:45:32 -0700,jbrockmendel,True,BUG: Fix float16 overflow in nanmean/nansum by upcasting to float64 (#64791)
pandas,71f00b1ec9d15873c3aa05b187ef8b9e023f70dd,2026-03-24 09:46:58 -0700,jbrockmendel,True,PERF: avoid boxing in Term.type for PeriodArray/IntervalArray (#64785)
pandas,0e795e76b26119bb6855b085ea42dc4f07bbded2,2026-03-24 09:48:54 -0700,jbrockmendel,True,"PERF: reduce overhead in __finalize__, to_numpy, __getitem__, and dtypes (#64787)"
pandas,c6027a06b524e3d0ccbdc70f8bd38d1b69adcfe0,2026-03-24 09:51:11 -0700,jbrockmendel,True,PERF: use pyarrow dictionary_encode for hashing arrow string/binary types (#64761)
pandas,932f54c4649e0c22fcfa4aa804e34a12d12c9743,2026-03-24 09:56:51 -0700,jbrockmendel,True,PERF: fast path for partial-string indexing on monotonic decreasing DTI (#64811)
pandas,389051d090579550f1a1259855f486d7f7e2159e,2026-03-24 15:58:45 -0700,jbrockmendel,True,TST: xfail test_no_track_times with HDF5 >= 2 (#64829)
pandas,9270ea88fb3a74b1fe7cbe0a2c8c88fc89c90240,2026-03-24 17:30:03 -0700,jbrockmendel,True,CLN: inline and remove maybe_convert_platform (#64832)
pandas,039a339e8a1f87ea1ff354580e4d29ee60680677,2026-03-24 17:30:29 -0700,jbrockmendel,True,BUG: honor drop_level=False in DataFrame.xs for fully specified MultiIndex keys (#64814)
pandas,ca158f1150517ad2564714cbea71bca4fd0b75ea,2026-03-25 09:17:48 -0700,jbrockmendel,True,BUG: fix iloc setitem with nullable EA dtype Series/Index (#47776) (#64830)
pandas,fcf4972ee9ca85872490a1c6a523c3128647289d,2026-03-25 09:32:10 -0700,jbrockmendel,True,BUG: fix DatetimeIndex + DateOffset near DST transitions (#64806)
pandas,b9cc4a636d004c3343fb27610df7984748c249c3,2026-03-25 09:41:33 -0700,jbrockmendel,True,BUG: fix KeyError when looking up tuple in object Index with duplicates (#64817)
pandas,7228fdd6736864734da9fd821b33cbb9cd0bc330,2026-03-25 10:53:28 -0700,jbrockmendel,True,BUG: fix dt64[non_nano] + offsets with sub-unit offset parameter (#64809)
pandas,d1debc702cd204e28980752e25960a81cc0c10f6,2026-03-25 10:54:46 -0700,jbrockmendel,True,PERF: Vectorize MultiIndex.get_locs for list-like keys (#64807)
pandas,40c3159661e416fa7c514b97bd94d4f0a373a2ff,2026-03-25 12:58:59 -0700,jbrockmendel,True,BUG: fix date_range inclusive filtering with periods (#64788)
pandas,5fca3b9f39e4836cdb7dc4eeb2b13094e6d66b2d,2026-03-25 20:09:37 -0700,Arthur Wigo,True,BUG: Fix inconsistency with DateOffset near DST (#61870)
pandas,2cef44b89b549624ec066d3ceec16493fbfa9ae8,2026-03-26 10:43:02 -0700,jbrockmendel,True,"DOC: note that replace() uses equality, not identity (#64850)"
pandas,ed3a4c1dfe7ccf66ff5c426dac9378cd9923d2f0,2026-03-26 11:00:10 -0700,jbrockmendel,True,TST: narrow xfail in test_categorical_dtype_single for pyarrow (#64869)
pandas,a4cdc2c8c671bce0bad8dc9f15d45d3b2cf60ac5,2026-03-26 11:02:26 -0700,jbrockmendel,True,TST: remove stale xfails in groupby value_counts tests (#64862)
